POS	iSAFE	DAF
134119474	0.0103242220694	0.863636363636
134121955	0.015289986483	0.863636363636
134124870	0.00184418413559	0.156565656566
134129206	0.0146375708155	0.858585858586
134157295	0.015289986483	0.863636363636
134162052	0.00972049093839	0.858585858586
134162358	0.00972049093839	0.858585858586
134172923	0.015289986483	0.863636363636
134174032	0.0146375708155	0.858585858586
134177419	0.0155997106771	0.858585858586
134177463	0.015289986483	0.863636363636
134178401	0.015289986483	0.863636363636
134178410	0.015289986483	0.863636363636
134179065	0.00222703046607	0.69696969697
134187085	0.00231640643681	0.10101010101
134187703	0.0240229069956	0.752525252525
134195810	0.00743788845102	0.641414141414
134197950	0.00687940804147	0.636363636364
134198159	0.00522396307202	0.641414141414
134198366	0.00522396307202	0.641414141414
134198654	0.00522396307202	0.641414141414
134198752	0.00522396307202	0.641414141414
134204245	0.0231612328829	0.757575757576
134214094	0.0333839279397	0.79797979798
134217382	0.00174547428239	0.515151515152
134218364	0.00174547428239	0.515151515152
134219216	0.0325418199581	0.79797979798
134220072	0.00563265829287	0.631313131313
134220481	0.00563265829287	0.631313131313
134220979	0.00563265829287	0.631313131313
134226723	0.00563265829287	0.631313131313
134228810	0.00158056575652	0.520202020202
134229008	0.0029849493348	0.681818181818
134235196	0.000775970911327	0.333333333333
134243711	0.000775970911327	0.333333333333
134249262	0.00253637416186	0.277777777778
134259002	0.0149641249872	0.914141414141
134259011	0.00521229633211	0.772727272727
134259684	0.00521229633211	0.772727272727
134260458	0.00521229633211	0.772727272727
134269344	0.0143281742892	0.929292929293
134270040	0.0143281742892	0.929292929293
134270531	0.0143281742892	0.929292929293
134286435	0.0149641249872	0.914141414141
134287762	0.00390367627387	0.858585858586
134289423	0.00390367627387	0.858585858586
134289527	0.00390367627387	0.858585858586
134289756	0.00390367627387	0.858585858586
134290270	0.00390367627387	0.858585858586
134291845	0.0164282462598	0.863636363636
134296777	0.00582899869498	0.212121212121
134298064	0.000111876681496	0.030303030303
134305002	0.00582899869498	0.212121212121
134312588	0.00156998668319	0.0656565656566
134315938	0.00737618020417	0.207070707071
134320098	0.00232305340307	0.267676767677
134320109	0.0214030637352	0.191919191919
134324043	0.00203218139146	0.0707070707071
134332013	0.0214030637352	0.191919191919
134333012	0.00232305340307	0.267676767677
134335992	0.00232305340307	0.267676767677
134339777	0.00232305340307	0.267676767677
134343253	0.00169878597464	0.272727272727
134344257	0.00943143313277	0.0656565656566
134344666	0.00266984860091	0.30303030303
134346526	0.00232305340307	0.267676767677
134347366	0.00232305340307	0.267676767677
134349589	0.00232305340307	0.267676767677
134353857	0.00943143313277	0.0656565656566
134355041	0.00943143313277	0.0656565656566
134355550	0.00943143313277	0.0656565656566
134355662	0.0090462843026	0.0757575757576
