ordinal_pos,id,isafe,freq,tier
28,4857,0.000190268204533,0.51,2
35,6014,0.000349968834101,0.03,2
40,6914,0.000190268204533,0.51,2
47,8524,0.000324396408838,0.08,2
50,9031,0.000117473170446,0.52,2
75,13505,0.000349968834101,0.03,2
79,14230,0.00349700050323,0.03,2
86,15744,0.000555014129797,0.095,2
103,18054,0.000114786800198,0.54,2
104,18061,0.00349700050323,0.03,2
161,29642,0.000379315668517,0.395,2
171,31573,0.000167238267103,0.02,2
182,34281,0.000244818221474,0.36,2
186,35541,0.0013674888759,0.05,2
236,45428,0.000227849739216,0.415,2
252,47356,0.000656232368603,0.08,1
266,49051,0.000800455903362,0.03,2
281,52168,0.0013674888759,0.05,2
319,59435,0.00349700050323,0.03,2
329,61671,0.000546596984766,0.075,1
331,62022,0.00349700050323,0.03,2
372,70153,0.000480448623023,0.08,2
385,72987,0.00349700050323,0.03,2
398,76337,0.000345846493591,0.05,2
402,77449,0.000345846493591,0.05,2
451,87432,0.00349700050323,0.03,2
452,87513,0.000259965789649,0.095,2
453,87529,0.000259965789649,0.095,2
458,87915,0.000259965789649,0.095,2
461,88165,0.000349968834101,0.03,2
481,90398,0.000345846493591,0.05,2
485,91218,0.000189522904369,0.03,2
495,92349,0.000345846493591,0.05,2
524,97970,0.000345846493591,0.05,2
542,101044,0.00148976400007,0.865,2
558,104447,0.000757355448125,0.145,2
573,107339,0.00349700050323,0.03,2
584,109389,0.00218849320132,0.475,2
588,109845,0.00534596243223,0.08,2
617,113976,0.00534596243223,0.08,2
620,114446,0.00534596243223,0.08,2
631,115811,0.00534596243223,0.08,2
703,128196,0.00165647598752,0.075,2
705,128283,0.00042352810612,0.115,2
723,129843,0.000591801333572,0.08,2
738,132685,0.00086670248008,0.075,1
744,134440,0.00360723490621,0.05,2
750,134735,0.000377863120966,0.12,2
784,139847,0.00110344021512,0.05,1
787,140359,0.00938320330006,0.2,2
791,140942,0.00822509448454,0.08,2
803,143476,0.00253632780644,0.765,2
807,144454,0.00373803957025,0.725,1
810,144686,0.00373803957025,0.725,2
880,156536,0.000430615474075,0.13,2
897,159745,0.000459296849963,0.125,2
902,160238,0.000459296849963,0.125,2
933,167382,0.000469160575277,0.09,2
937,168407,0.000549000405642,0.35,2
946,170413,0.000525316539294,0.34,2
958,171480,0.000525316539294,0.34,2
962,172204,0.000459296849963,0.125,2
966,172635,0.00056222442804,0.405,2
982,175316,0.00399757022839,0.905,2
986,176288,0.00947091339039,0.93,1
991,177575,0.000159658011335,0.045,2
1021,182709,0.0010507513507,0.185,2
1022,182716,0.00110553188825,0.87,2
1034,184604,0.0010507513507,0.185,2
1055,187355,0.000669124029237,0.1,2
1058,187567,0.000936849182521,0.035,2
1101,194343,0.000669124029237,0.1,2
1102,194532,0.00113333213724,0.165,2
1106,194936,0.00109945348973,0.145,2
1114,196261,0.00186003649609,0.035,2
1124,198497,0.00101208635653,0.5,2
1125,198776,0.000426030725884,0.56,2
1155,203085,0.00065168385347,0.095,2
1158,203569,0.00065168385347,0.095,2
1161,203851,0.00126889298178,0.59,2
1165,204205,0.00065168385347,0.095,2
1172,206310,0.000974270094936,0.1,2
1180,208010,0.00100736129868,0.43,2
1188,209412,0.000974270094936,0.1,2
1198,211443,0.00515085484707,0.07,2
1229,217861,0.00704222597316,0.81,2
1231,217942,0.00704222597316,0.81,2
1235,219001,0.00164494966261,0.04,1
1238,219340,0.00704222597316,0.81,2
1239,219558,0.00704222597316,0.81,2
1253,224069,0.00106731601821,0.05,1
1262,225931,0.000556342564116,0.6,2
1264,226044,0.000556342564116,0.6,2
1268,226696,0.00164494966261,0.04,2
1270,226808,0.00164494966261,0.04,2
1286,228982,0.00164494966261,0.04,2
1291,229335,0.00164494966261,0.04,2
1311,233029,0.00129279662667,0.68,2
1313,233221,0.00129279662667,0.68,2
1314,233305,0.00129279662667,0.68,2
1317,233395,0.00129279662667,0.68,2
1321,233574,0.00129279662667,0.68,2
1333,234697,0.00164494966261,0.04,2
1375,242153,0.00230671830676,0.185,2
1415,247257,0.00219257018515,0.37,2
1472,255010,0.000849692249372,0.31,2
1490,257712,0.00515085484707,0.07,1
1491,258107,0.00515085484707,0.07,2
1522,264005,0.00142435697425,0.045,2
1523,264287,0.00142435697425,0.045,2
1536,265951,0.000285062847033,0.05,2
1571,272015,0.000832178496534,0.57,2
1572,272344,0.00183790043292,0.14,2
1576,272481,0.000832178496534,0.57,2
1581,273479,0.00157143369603,0.865,2
1589,275181,0.00157143369603,0.865,2
1591,275463,0.00157143369603,0.865,2
1605,277050,0.00183790043292,0.14,2
1627,279364,0.00183790043292,0.14,2
1629,280160,0.00183790043292,0.14,2
1642,280980,0.00183790043292,0.14,2
1644,281450,0.00183790043292,0.14,2
1645,281589,0.00149031817746,0.145,2
1691,287587,0.00109883559949,0.085,2
1713,289706,0.0072383340528,0.04,1
1725,292628,0.00105190404572,0.23,2
1767,300734,0.00569193743325,0.06,2
1774,302247,0.00105190404572,0.23,2
1779,303439,0.00100782080232,0.035,2
1796,306278,0.00132911456527,0.54,2
1803,307469,0.00143921779489,0.545,2
1806,307865,0.00169762650392,0.615,2
1812,308306,0.0072383340528,0.04,2
1825,310702,0.00143002660972,0.54,2
1826,310776,0.00143002660972,0.54,2
1841,312640,0.00120862814388,0.63,2
1855,313814,0.00525615681187,0.105,2
1876,316056,0.00126023521472,0.76,2
1878,316232,0.00133058282148,0.625,2
1879,316418,0.00126023521472,0.76,2
1882,316641,0.00126023521472,0.76,2
1888,317655,0.00109859072591,0.755,2
1892,318130,0.00440240676479,0.075,2
1911,321196,0.00154651278401,0.355,2
1973,329903,0.00293439237678,0.12,2
1974,329917,0.0024063519383,0.515,2
1975,330143,0.0030480736665,0.145,1
2031,339964,0.00296802142787,0.105,2
2052,343859,0.00245885113797,0.735,2
2066,346094,0.00296802142787,0.105,2
2080,348637,0.00692943984042,0.1,2
2081,348738,0.00296802142787,0.105,2
2116,353779,0.00351797672699,0.86,2
2118,354009,0.00548003109614,0.105,2
2142,357222,0.00136545326802,0.715,2
2145,357559,0.00136545326802,0.715,2
2146,357810,0.00136545326802,0.715,2
2148,357835,0.00136545326802,0.715,2
2158,359216,0.00323789269778,0.19,2
2171,360859,0.0038060225808,0.245,1
2199,365883,0.0038060225808,0.245,2
2200,366013,0.00135773898942,0.54,2
2205,367346,0.00135773898942,0.54,2
2221,369838,0.00323789269778,0.19,2
2254,374116,0.00397221737342,0.14,2
2270,375837,0.00323789269778,0.19,2
2281,376924,0.00692943984042,0.1,1
2287,377615,0.00292369469039,0.225,2
2288,377686,0.00292369469039,0.225,2
2313,380657,0.00142038274946,0.765,2
2315,380729,0.00495086593731,0.12,2
2326,382391,0.00495086593731,0.12,2
2343,384994,0.00125185083576,0.59,2
2392,393555,0.00442991505636,0.87,2
2393,393684,0.00442991505636,0.87,2
2401,395546,0.000590354528365,0.355,2
2410,396398,0.000590354528365,0.355,2
2414,397741,0.000650711067716,0.08,2
2428,398976,0.00078496493553,0.34,2
2435,400207,0.00078496493553,0.34,2
2442,401075,0.00108419935115,0.32,1
2444,401260,0.00108419935115,0.32,2
2447,402149,0.000459062810425,0.235,2
2473,408312,0.00247028880293,0.185,2
2491,410667,0.00106692138153,0.815,2
2496,411510,0.00106692138153,0.815,2
2500,413046,0.00202399083609,0.735,2
2504,413488,0.00202399083609,0.735,2
2548,422571,0.00156416840978,0.755,2
2552,422895,0.00156416840978,0.755,2
2606,430052,0.00310254595504,0.18,2
2613,431311,0.00116779589247,0.815,2
2620,432370,0.0015707799594,0.74,2
2626,434015,0.00195363438932,0.365,2
2628,434454,0.0015707799594,0.74,2
2632,435636,0.0015707799594,0.74,2
2633,435729,0.0015707799594,0.74,2
2636,436777,0.0015707799594,0.74,2
2638,436979,0.00366672299923,0.045,2
2641,438714,0.00303988601548,0.275,1
2650,440597,0.0072383340528,0.04,1
2684,446490,0.00366672299923,0.045,2
2710,452494,0.000361602586004,0.75,2
2712,452584,0.000361602586004,0.75,2
2718,454058,0.00195325169368,0.56,2
2723,455087,0.000319281324574,0.79,2
2730,456759,0.00080727413214,0.565,2
2757,460098,0.00347089520518,0.045,2
2761,460616,0.000943261077846,0.03,2
2779,462770,0.00178019065266,0.28,2
2806,466341,0.00345635615031,0.045,2
